path	phase	portability	need	what	adapts	status	successor_or_product
tools/sig_unify.py	P6	ADAPT	unify a draft's callee externs and its own signature to the banked-canonical set	Unifies a draft's callee externs and its own definition signature to the banked-canonical set	repo shared-header paths	LIVE	
tools/split_indicator.py	P2	ADAPT	name the code segments that must be split before their switch functions carve	Names code segments that must be split before their switch functions can be sectioned	repo config layout	LIVE	
tools/split_src_region.py	P3	ADAPT	split a source file at object boundaries, preserving matched code and stubs	Splits a source file at object boundaries, preserving matched code and stub blocks	repo src/config layout	LIVE	
tools/strand_census.py	P5	ADAPT	check whether an open target already has a draft on disk	Lists every draft already on disk whose function is still open, with its blocker	repo scratch paths	STILL-NEEDED	check whether an open target already has a draft on disk before drafting it
tools/stub_invariant_audit.py	P5	ADAPT	negative-control the comparer: every stub's built object must equal its target	Negative control: for every stub the built object must equal the target assembly exactly	repo build paths	STILL-NEEDED	negative-control the masked comparer: every stub's built object must equal its target
tools/sweep_citations.py	P7	ADAPT	localize every compiler-source citation in a document against the pinned sources	Deterministically localizes every compiler-source citation in a document against the pinned sources	repo reference tree paths	SUPERSEDED	tools/gccmap_cites.py
tools/sweep_parallel.py	P8	ADAPT	gate pre-staged draft directories across distinct binaries in parallel	Gates pre-staged draft directories across distinct binaries in parallel	repo scratch paths	LIVE	
tools/symcheck.py	P5	ADAPT	diff the symbol set a draft references against the target's, before gating	Pre-gate guard diffing the symbol set a draft references against the target's	repo build paths	SUPERSEDED	tools/reloc_verify.py
tools/sync_tu_decls.py	P6	ADAPT	bank a refused draft by copying the destination unit's own declarations into it — the declaration-conflict class a canonical type layer prevents (Phase 6)	Banks a refused draft by copying the destination unit's own declarations into it	repo src layout	LIVE	
tools/t5_bank.sh	P8	ADAPT	judge each arm of a wave and bank the union, refusing if unsafe	Post-draft half of an agent wave: refuse if unsafe, judge each arm, bank the union	repo paths, lane conventions	SUPERSEDED	tools/gate_wave.py
tools/t5_cards.py	P8	ADAPT	build the card fuel for one wave's own targets, keyed per binary	Builds the card fuel for one wave's own targets, keyed correctly per binary	repo scratch paths	LIVE	
tools/t5_distill_args.py	P8	ADAPT	build the post-wave distillation slate from a wave's directories	Builds the post-wave distillation slate from a wave's directories	repo scratch paths	SUPERSEDED	tools/distill_scan.py
tools/t5_targets.py	P8	ADAPT	draw one routed slate from the classified frontier	Draws one routed slate from the frontier classes	repo scratch paths	SUPERSEDED	tools/draw_waves.py
tools/t7_bank.py	P8	ADAPT	bank a batch, reconciling declarations at bank time before the whole-binary gate	Batch banking driver applying reconcile-at-bank-time plus the whole-binary gate	repo src/config layout	SUPERSEDED	tools/gate_stage.py
tools/test_jtbl_parse_config.py	P5	ADAPT	regression-test the table-carve configuration parser with a negative control	Regression plus negative control for the table-carve configuration parser	repo config fixtures	LIVE	
tools/test_o0_detect.py	P5	ADAPT	negative-control the detector that decides a function's optimization level	Negative control for the matcher's optimization-level auto-detection	repo paths	STILL-NEEDED	negative-control the detector that decides a function's optimization level
tools/test_reconcile_ledger.py	P5	ADAPT	exercise a guarded repair path the full negative control never reaches	Targeted proof of the propagation ledger guard the full control never exercised	repo paths	ONE-OFF	the S45p7 reconcile-ledger proof, retired with its subject dedup_propagate
tools/test_residual_class.py	P5	PORTABLE	unit-test a residual classifier on hand-encoded words, not its own decoder	Synthetic hand-encoded unit tests for the deterministic residual classifier	MIPS encodings	STILL-NEEDED	unit-test a residual classifier on hand-encoded words, not on its own decoder
tools/timeline.py	P9	ADAPT	build a progress timeline from the repository's own committed digests	Builds a progress timeline from the repository's own committed digests, with a self-check	repo doc paths	LIVE	
tools/tool_census.py	P5	ADAPT	derive the tool census, the need-keyed index, the kit manifest and the verbatim corpora from one dictionary	Derives the tool census, the need-keyed tool index, the kit manifest and the verbatim corpora from one dictionary, coverage-asserted both ways	repo layout (tools/, docs/SETUP.md rows, the kit paths)	LIVE	
tools/train_lora.py	P8	ADAPT	fine-tune a code model into a matching specialist on a mined corpus	Fine-tunes a code model into a matching specialist and saves the adapter	dataset paths, training venv	STILL-NEEDED	fine-tune a code model into a matching specialist on the mined corpus
tools/transcript_dump.py	P8	ADAPT	condense a session transcript into readable text for a successor session	Condenses a session transcript into readable text for a successor session	agent transcript paths	LIVE	
tools/treelock.sh	P8	ADAPT	hold one mutex over tree-writing campaigns, with status and stale detection	The mutex wrapper for tree-writing campaigns, with status and stale detection	repo lock paths	SUPERSEDED	tools/shared_lock.py
tools/triage_ladder.py	P8	ADAPT	decide before and after drafting whether a target needs an agent at all	Zero-token pass deciding whether a target needs an agent at all, before and after drafting	repo scratch paths	LIVE	
tools/twin_rescan.py	P6	ADAPT	report which open stubs became mechanical remaps the moment one was banked	After a bank, reports which open stubs just became mechanical remaps instead of drafts	repo signature files	STILL-NEEDED	report which open stubs became mechanical remaps the moment one was banked
tools/twin_sweep.py	P6	ADAPT	bank every open stub that already has a banked structural twin	Banks every open stub that has an already-banked structural twin, for near-zero tokens	repo signature files	LIVE	
tools/uniquify_type.py	P10	ADAPT	give each conflicting camp of a same-named type its own name	Gives each conflicting camp of a same-named type its own name so every camp becomes liftable	repo src layout	STILL-NEEDED	give each conflicting camp of a same-named type its own name so both become liftable
tools/validate_targets.py	P8	ADAPT	gate every target list for validity before agents are spawned	The validity gate every target list must pass before agents are spawned	repo scratch paths	LIVE	
tools/verbatim_check.py	P10	ADAPT	guard that every inline-assembly body still reproduces its target bytes	Regression guard that every inline-assembly body still reproduces its target bytes	repo src layout	LIVE	
tools/verbatim_target_s.py	P10	ADAPT	regenerate a splitter-format target disassembly for a function no longer stubbed	Regenerates a splitter-format target disassembly for a function that is no longer a stub; --gas emits the assemblable gas-syntax form ($-registers, .L labels, noreorder) that a web diff service accepts as a pasted target	repo build/asm layout	LIVE	
tools/verbatim_to_stub.py	P10	ADAPT	turn an inline-assembly body back into a stub the toolchain can reach	Turns an inline-assembly body back into an include-assembly stub	repo src/asm layout	STILL-NEEDED	turn an inline-assembly body back into a stub the toolchain can reach
tools/verify_binary.py	P3	ADAPT	byte-verify one binary by hand the only correct way, re-extract included	The correct hand verification of one binary: full re-extract plus rebuild, then hash compare	repo make targets	STILL-NEEDED	byte-verify one binary by hand the only correct way, re-extract included
tools/verify_contract.sh	P9	ADAPT	prove the whole byte-identity contract end to end, step by step	The recorded end-to-end verification run of the byte-identity contract, step by step	repo make targets, output dir	STILL-NEEDED	prove the whole byte-identity contract end to end from a committed tree
tools/verify_map_findings.py	P7	ADAPT	machine-check an audit's findings against the actual compiler sources	Machine-checks a codegen-map audit's findings against the actual compiler sources	repo reference tree paths	ONE-OFF	the machine-checked verdicts of one codegen-map audit (docs/gcc-2.7.2-map/regalloc.md)
tools/verify_worktree.py	P8	ADAPT	check a commit out into its own worktree and verify it there	Checks a commit into its own worktree, provisions build deps, and verifies it there	repo worktree/build layout	LIVE	
tools/wall_sweep.py	P5	ADAPT	enumerate fleet-wide every instance of one known assembler-level blocker class	Enumerates fleet-wide instances of one known assembler-level blocker class	repo asm layout, toolchain quirk	LIVE	
tools/wall_taxonomy.py	P5	ADAPT	size each avenue by classifying every unmatched residual by blocker class	Census-classifies every unmatched residual by blocker class to size each avenue	canonical source binary name	SUPERSEDED	tools/frontier_classify.py
tools/warmstart.py	P7	ADAPT	feed the permuter warm-start drafts built from banked exemplars and routed fuel	Feeds the permuter warm-start drafts built from banked exemplars and routed fuel	repo scratch paths	SUPERSEDED	tools/permuter_sweep.py
tools/wave_args.py	P8	ADAPT	emit the exact drafting-workflow arguments, asserting every target is still open	Emits the exact workflow arguments for a wave, asserting every target is open	repo scratch paths	LIVE	
tools/wave_card_fuel.py	P8	ADAPT	compute in one library the per-target card fuel a prompt pack carries	The single library computing the per-target card fuel a pack carries	repo scratch paths	LIVE	
tools/wave_judge.py	P8	ADAPT	gate each arm on the whole binary with a tree reset between arms	Per-arm whole-binary gate with tree reset between arms, then gates the best-of union	repo scratch/src layout	LIVE	
tools/wave_snapshot.py	P8	ADAPT	give a wave its own immutable copy of the disassembly its agents read	Gives a wave its own immutable copy of the disassembly files its agents read	repo asm paths	LIVE	
tools/wave_targets.py	P8	ADAPT	select a worker wave's target batch from the manifest with cache filters	Selects a worker-wave target batch from the target manifest with cache filters	repo scratch paths	LIVE	
tools/weave_sweep.py	P6	ADAPT	apply one proven codegen lever everywhere the bytes say it belongs	Applies one known prologue-scheduling lever everywhere the bytes say it belongs	repo src layout, compiler behaviour	STILL-NEEDED	apply one proven codegen lever everywhere the bytes say it belongs
tools/wiki_render.py	P9	ADAPT	render doc trees into wiki page names, rewriting every relative link	Renders the doc trees into wiki page names with every relative link rewritten deterministically	repo doc paths	LIVE	
tools/wiki_sync.sh	P9	ADAPT	render and publish the docs to a hosted wiki, replacing its pages	Renders and publishes the docs to the hosted wiki, replacing its pages	wiki remote URL, repo paths	LIVE	
tools/work_evidence.py	P8	ADAPT	assert that a tool actually did the work it reports	Assertions that a tool actually did the work it reports	repo scratch paths	LIVE	
tools/worklist.py	P5	ADAPT	join the target pool and near-miss ledger into one byte-weighted queue	Joins the target pool and the near-miss ledger into one byte-weighted ranked queue	repo scratch paths	LIVE	
tools/xsig/tests/make_fixtures.sh	P6	ADAPT	regenerate the signature tool's fixtures with the pinned toolchain	Regenerates the signature-tool fixtures with the pinned toolchain	compiler triple, repo tool paths	LIVE	
tools/xsig/tests/test_xsig.py	P6	PORTABLE	property-test the signature tool on committed fixtures, needing no compiler	Property tests for the signature tool on committed fixtures, needing no compiler	fixture paths	LIVE	
tools/xsig/xsig.py	P6	PORTABLE	sign functions with relocations masked for cross-project code identification	Relocation-masked per-function signatures for cross-project code identification	MIPS/relocation model only	LIVE	
